xmin,xmax,ymin,ymax,zmin,zmax
14,15.02777778,5,6.027777778,6,7
15,16.02777778,5,6.027777778,6,7
16,17.02777778,5,6.027777778,6,7
4,5.027777778,6,7.027777778,6,7
5,6.027777778,6,7.027777778,6,7
6,7.027777778,6,7.027777778,6,7
7,8.027777778,6,7.027777778,6,7
11,12.02777778,6,7.027777778,6,7
12,13.02777778,6,7.027777778,6,7
13,14.02777778,6,7.027777778,6,7
14,15.02777778,6,7.027777778,6,7
15,16.02777778,6,7.027777778,6,7
16,17.02777778,6,7.027777778,6,7
4,5.027777778,7,8.027777778,6,7
5,6.027777778,7,8.027777778,6,7
6,7.027777778,7,8.027777778,6,7
7,8.027777778,7,8.027777778,6,7
8,9.027777778,7,8.027777778,6,7
10,11.02777778,7,8.027777778,6,7
11,12.02777778,7,8.027777778,6,7
12,13.02777778,7,8.027777778,6,7
13,14.02777778,7,8.027777778,6,7
14,15.02777778,7,8.027777778,6,7
15,16.02777778,7,8.027777778,6,7
16,17.02777778,7,8.027777778,6,7
12,13.02777778,8,9.027777778,6,7
13,14.02777778,8,9.027777778,6,7
14,15.02777778,8,9.027777778,6,7
15,16.02777778,8,9.027777778,6,7
10,11.02777778,8,9.027777778,6,7
11,12.02777778,8,9.027777778,6,7
11,12.02777778,1,2.027777778,7,8
12,13.02777778,1,2.027777778,7,8
13,14.02777778,1,2.027777778,7,8
14,15.02777778,1,2.027777778,7,8
12,13.02777778,2,3.027777778,7,8
13,14.02777778,2,3.027777778,7,8
14,15.02777778,2,3.027777778,7,8
15,16.02777778,2,3.027777778,7,8
7,8.027777778,3,4.027777778,7,8
8,9.027777778,3,4.027777778,7,8
10,11.02777778,3,4.027777778,7,8
11,12.02777778,3,4.027777778,7,8
12,13.02777778,3,4.027777778,7,8
14,15.02777778,3,4.027777778,7,8
15,16.02777778,3,4.027777778,7,8
16,17.02777778,3,4.027777778,7,8
7,8.027777778,4,5.027777778,7,8
11,12.02777778,4,5.027777778,7,8
12,13.02777778,4,5.027777778,7,8
15,16.02777778,4,5.027777778,7,8
16,17.02777778,4,5.027777778,7,8
7,8.027777778,5,6.027777778,7,8
11,12.02777778,5,6.027777778,7,8
12,13.02777778,5,6.027777778,7,8
15,16.02777778,5,6.027777778,7,8
16,17.02777778,5,6.027777778,7,8
7,8.027777778,6,7.027777778,7,8
11,12.02777778,6,7.027777778,7,8
12,13.02777778,6,7.027777778,7,8
15,16.02777778,6,7.027777778,7,8
16,17.02777778,6,7.027777778,7,8
7,8.027777778,7,8.027777778,7,8
8,9.027777778,7,8.027777778,7,8
10,11.02777778,7,8.027777778,7,8
11,12.02777778,7,8.027777778,7,8
12,13.02777778,7,8.027777778,7,8
14,15.02777778,7,8.027777778,7,8
15,16.02777778,7,8.027777778,7,8
16,17.02777778,7,8.027777778,7,8
12,13.02777778,8,9.027777778,7,8
13,14.02777778,8,9.027777778,7,8
14,15.02777778,8,9.027777778,7,8
15,16.02777778,8,9.027777778,7,8
11,12.02777778,8,9.027777778,7,8
11,12.02777778,1,2.027777778,8,9
12,13.02777778,1,2.027777778,8,9
13,14.02777778,1,2.027777778,8,9
14,15.02777778,1,2.027777778,8,9
12,13.02777778,2,3.027777778,8,9
13,14.02777778,2,3.027777778,8,9
14,15.02777778,2,3.027777778,8,9
15,16.02777778,2,3.027777778,8,9
16,17.02777778,2,3.027777778,8,9
7,8.027777778,3,4.027777778,8,9
8,9.027777778,3,4.027777778,8,9
10,11.02777778,3,4.027777778,8,9
11,12.02777778,3,4.027777778,8,9
12,13.02777778,3,4.027777778,8,9
14,15.02777778,3,4.027777778,8,9
15,16.02777778,3,4.027777778,8,9
16,17.02777778,3,4.027777778,8,9
7,8.027777778,4,5.027777778,8,9
11,12.02777778,4,5.027777778,8,9
12,13.02777778,4,5.027777778,8,9
16,17.02777778,4,5.027777778,8,9
7,8.027777778,5,6.027777778,8,9
11,12.02777778,5,6.027777778,8,9
12,13.02777778,5,6.027777778,8,9
16,17.02777778,5,6.027777778,8,9
7,8.027777778,6,7.027777778,8,9
11,12.02777778,6,7.027777778,8,9
12,13.02777778,6,7.027777778,8,9
16,17.02777778,6,7.027777778,8,9
7,8.027777778,7,8.027777778,8,9
8,9.027777778,7,8.027777778,8,9
10,11.02777778,7,8.027777778,8,9
11,12.02777778,7,8.027777778,8,9
12,13.02777778,7,8.027777778,8,9
14,15.02777778,7,8.027777778,8,9
15,16.02777778,7,8.027777778,8,9
16,17.02777778,7,8.027777778,8,9
12,13.02777778,8,9.027777778,8,9
13,14.02777778,8,9.027777778,8,9
14,15.02777778,8,9.027777778,8,9
15,16.02777778,8,9.027777778,8,9
16,17.02777778,8,9.027777778,8,9
11,12.02777778,8,9.027777778,8,9
11,12.02777778,2,3.027777778,9,10
14,15.02777778,2,3.027777778,9,10
15,16.02777778,2,3.027777778,9,10
16,17.02777778,2,3.027777778,9,10
7,8.027777778,3,4.027777778,9,10
8,9.027777778,3,4.027777778,9,10
11,12.02777778,3,4.027777778,9,10
12,13.02777778,3,4.027777778,9,10
14,15.02777778,3,4.027777778,9,10
15,16.02777778,3,4.027777778,9,10
16,17.02777778,3,4.027777778,9,10
7,8.027777778,4,5.027777778,9,10
11,12.02777778,4,5.027777778,9,10
12,13.02777778,4,5.027777778,9,10
16,17.02777778,4,5.027777778,9,10
11,12.02777778,5,6.027777778,9,10
12,13.02777778,5,6.027777778,9,10
16,17.02777778,5,6.027777778,9,10
7,8.027777778,6,7.027777778,9,10
11,12.02777778,6,7.027777778,9,10
12,13.02777778,6,7.027777778,9,10
16,17.02777778,6,7.027777778,9,10
7,8.027777778,7,8.027777778,9,10
8,9.027777778,7,8.027777778,9,10
11,12.02777778,7,8.027777778,9,10
12,13.02777778,7,8.027777778,9,10
14,15.02777778,7,8.027777778,9,10
15,16.02777778,7,8.027777778,9,10
16,17.02777778,7,8.027777778,9,10
11,12.02777778,8,9.027777778,9,10
14,15.02777778,8,9.027777778,9,10
15,16.02777778,8,9.027777778,9,10
16,17.02777778,8,9.027777778,9,10
11,12.02777778,2,3.027777778,10,11
12,13.02777778,2,3.027777778,10,11
7,8.027777778,3,4.027777778,10,11
8,9.027777778,3,4.027777778,10,11
10,11.02777778,3,4.027777778,10,11
11,12.02777778,3,4.027777778,10,11
12,13.02777778,3,4.027777778,10,11
7,8.027777778,4,5.027777778,10,11
16,17.02777778,4,5.027777778,10,11
16,17.02777778,5,6.027777778,10,11
7,8.027777778,6,7.027777778,10,11
16,17.02777778,6,7.027777778,10,11
7,8.027777778,7,8.027777778,10,11
8,9.027777778,7,8.027777778,10,11
10,11.02777778,7,8.027777778,10,11
11,12.02777778,7,8.027777778,10,11
12,13.02777778,7,8.027777778,10,11
11,12.02777778,8,9.027777778,10,11
12,13.02777778,8,9.027777778,10,11
10,11.02777778,2,3.027777778,11,12
11,12.02777778,2,3.027777778,11,12
12,13.02777778,2,3.027777778,11,12
7,8.027777778,3,4.027777778,11,12
8,9.027777778,3,4.027777778,11,12
9,10.02777778,3,4.027777778,11,12
10,11.02777778,3,4.027777778,11,12
11,12.02777778,3,4.027777778,11,12
12,13.02777778,3,4.027777778,11,12
13,14.02777778,3,4.027777778,11,12
7,8.027777778,4,5.027777778,11,12
7,8.027777778,5,6.027777778,11,12
7,8.027777778,6,7.027777778,11,12
7,8.027777778,7,8.027777778,11,12
8,9.027777778,7,8.027777778,11,12
9,10.02777778,7,8.027777778,11,12
10,11.02777778,7,8.027777778,11,12
11,12.02777778,7,8.027777778,11,12
12,13.02777778,7,8.027777778,11,12
13,14.02777778,7,8.027777778,11,12
10,11.02777778,8,9.027777778,11,12
11,12.02777778,8,9.027777778,11,12
12,13.02777778,8,9.027777778,11,12
7,8.027777778,2,3.027777778,12,13
8,9.027777778,2,3.027777778,12,13
9,10.02777778,2,3.027777778,12,13
